name,minPlayer,maxPlayer,minTime,maxTime,age,year,designer,auction,diceRoll,tilePlacement,bluff,areaMajority,hiddenRoles,cooperative,workerPlacement,balance,draft,network,stock,trickTaking,burst,setCollection,handManagement,deckBuilding,batting,negotiation,team,actionPoint,variablePhaseOrder,actionPlot,realTime,memory,reasoning,word,action,storyMaking,variablePlayerPower,drawing,legacy,escapeRoom,civilization,fantasy,cthulhu,space,sf,war,exploring,building,territory,animal,detective,mafia,spy,zombie,japan,pirate,farm,music,sports,train,nonTheme
パークス,1.0,5.0,40.0,60.0,9.0,2019.0,ヘンリー・オーデュボン（Henry Audubon）,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ゴーストハンター,3.0,5.0,15.0,15.0,5.0,2007.0,アンドレアス・フレイ（Andreas Frei）ウーリー・フレイ（Ueli Frei）ルーカス・フレイ（Lukas Frei）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
アバブ・アンド・ビロー（上へ下へ）,2.0,4.0,90.0,90.0,13.0,2015.0,ライアン・ラウカット（Ryan Laukat）,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
通路,1.0,8.0,15.0,15.0,8.0,2005.0,トム・マクマーチ（Tom McMurchie）,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ぶたの貯金箱,2.0,4.0,15.0,25.0,4.0,1999.0,クラウス・トイバー（Klaus Teuber）,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
箸でCUBEs,1.0,2.0,15.0,25.0,6.0,2109.0,はりー（Harigaya Munetoshi）,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ハックスタック,2.0,2.0,5.0,10.0,10.0,2019.0,Kunio Tajima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
イーオンズ・エンド：ウォーエターナル,1.0,4.0,60.0,60.0,14.0,2017.0,ケビン・ライリー（Kevin Riley）,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
イーオンズ・エンド,1.0,4.0,60.0,60.0,14.0,2016.0,ケビン・ライリー（Kevin Riley）,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
グリモリア,2.0,5.0,30.0,30.0,12.0,2010.0,木皿儀 隼一（Hayato Kisaragi）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
地底旅行,2.0,4.0,60.0,75.0,10.0,2008.0,リュディガー・ドーン（Rüdiger Dorn）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
絶滅ダウト / マンモス,3.0,7.0,20.0,20.0,7.0,2015.0,ニコライ・ペガソフ（Nikolay Pegasov）,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
スカイジョ,2.0,8.0,15.0,45.0,8.0,2015.0,アレクサンダー・ベルンハルト（Alexander Bernhardt）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ウィングスパン,1.0,5.0,40.0,70.0,10.0,2019.0,エリザベス・ハグレイブ（Elizabeth Hargrave）,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ダイス・オブ・ザ・デッド ボードゲーム TOKYO ARMAGEDDON,2.0,5.0,60.0,90.0,12.0,2016.0,西岡 拓哉（Takuya Nishioka）柘植 めぐみ（Megumi Takushoku）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ディメンション,1.0,4.0,30.0,30.0,8.0,2014.0,ルージュ・ルカウ（Lauge Luchau）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ヴィニョス：デラックス・エディション,1.0,4.0,60.0,135.0,14.0,2016.0,ヴィタル・ラセルダ（Vital Lacerda）,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ギズモ,2.0,4.0,40.0,50.0,14.0,2018.0,フィル・ウォルカーハーディング（Phil Walker-Harding）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
コリントス,2.0,4.0,20.0,30.0,8.0,2019.0,セバスティン・ポーコン（Sébastien Pauchon）,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
